Timestamp,A_QI,A_QJ,A_QK,A_QR,B_QI,B_QJ,B_QK,B_QR,A_AX,A_AY,A_AZ,B_AX,B_AY,B_AZ,A_GX,A_GY,A_GZ,B_GX,B_GY,B_GZ
32419,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,-0.4609376788139343,0.4960939288139343,8.35156536102295,0.0,0.0,0.0,-0.06835942715406418,-1.2714853286743164,-0.12890633940696716,0.0,0.0,0.0
32432,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,-0.4609376788139343,0.4960939288139343,8.35156536102295,0.0,0.0,0.0,-0.14062510430812836,-1.429688572883606,-0.14648447930812836,0.0,0.0,0.0
32443,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,0.19140632450580597,0.15234380960464478,9.343753814697266,0.0,0.0,0.0,-0.14062510430812836,-1.429688572883606,-0.14648447930812836,0.0,0.0,0.0
32453,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,0.19140632450580597,0.15234380960464478,9.343753814697266,0.0,0.0,0.0,-0.2890627086162567,-1.460938572883606,-0.09765631705522537,0.0,0.0,0.0
32462,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,0.19140632450580597,0.15234380960464478,9.343753814697266,0.0,0.0,0.0,-0.2695314288139343,-1.2265633344650269,-0.054687537252902985,0.0,0.0,0.0
32474,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,0.19140632450580597,0.15234380960464478,9.343753814697266,0.0,0.0,0.0,-0.2988283336162567,-1.0156257152557373,-0.001953126396983862,0.0,0.0,0.0
32484,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,1.1093753576278687,-0.34375011920928955,10.687503814697266,0.0,0.0,0.0,-0.2988283336162567,-1.0156257152557373,-0.001953126396983862,0.0,0.0,0.0
32496,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,1.1093753576278687,-0.34375011920928955,10.687503814697266,0.0,0.0,0.0,-0.2890627086162567,-0.5898441672325134,0.08789068460464478,0.0,0.0,0.0
32507,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,1.3789067268371582,-0.38281264901161194,10.003910064697266,0.0,0.0,0.0,-0.2890627086162567,-0.5898441672325134,0.08789068460464478,0.0,0.0,0.0
32518,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,1.3789067268371582,-0.38281264901161194,10.003910064697266,0.0,0.0,0.0,-0.2714845836162567,-0.4042971730232239,0.09960944950580597,0.0,0.0,0.0
32530,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,1.3789067268371582,-0.38281264901161194,10.003910064697266,0.0,0.0,0.0,-0.23437516391277313,-0.3847658932209015,0.04296877980232239,0.0,0.0,0.0
32541,0.04229739308357239,-0.016479503363370895,0.9651496410369873,0.2576906085014343,0.0,0.0,0.0,0.0,1.3789067268371582,-0.38281264901161194,10.003910064697266,0.0,0.0,0.0,-0.23437516391277313,-0.3847658932209015,0.04296877980232239,0.0,0.0,0.0
32552,0.04229739308357239,-0.016479503363370895,0.9651496410369873,0.2576906085014343,0.0,0.0,0.0,0.0,1.4570317268371582,0.38281264901161194,10.003910064697266,0.0,0.0,0.0,-0.23437516391277313,-0.3847658932209015,0.04296877980232239,0.0,0.0,0.0
32564,0.04229739308357239,-0.016479503363370895,0.9651496410369873,0.2576906085014343,0.0,0.0,0.0,0.0,1.4570317268371582,0.38281264901161194,10.003910064697266,0.0,0.0,0.0,0.05859379097819328,-0.3437502384185791,-0.17773450911045074,0.0,0.0,0.0
32575,0.04229739308357239,-0.016479503363370895,0.9651496410369873,0.2576906085014343,0.0,0.0,0.0,0.0,1.4570317268371582,0.38281264901161194,10.003910064697266,0.0,0.0,0.0,0.12304696440696716,-0.21679702401161194,-0.19726575911045074,0.0,0.0,0.0
32586,0.04229739308357239,-0.016479503363370895,0.9651496410369873,0.2576906085014343,0.0,0.0,0.0,0.0,1.6093755960464478,0.039062514901161194,10.035160064697266,0.0,0.0,0.0,0.12304696440696716,-0.21679702401161194,-0.19726575911045074,0.0,0.0,0.0
32598,0.04229739308357239,-0.016479503363370895,0.9651496410369873,0.2576906085014343,0.0,0.0,0.0,0.0,1.6093755960464478,0.039062514901161194,10.035160064697266,0.0,0.0,0.0,0.15820324420928955,-0.03710940107703209,-0.2500001788139343,0.0,0.0,0.0
32609,0.04229739308357239,-0.016479503363370895,0.9651496410369873,0.2576906085014343,0.0,0.0,0.0,0.0,1.6093755960464478,0.039062514901161194,10.035160064697266,0.0,0.0,0.0,0.13671885430812836,-0.048828158527612686,-0.2812502086162567,0.0,0.0,0.0
32620,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.6093755960464478,0.039062514901161194,10.035160064697266,0.0,0.0,0.0,0.13671885430812836,-0.048828158527612686,-0.2812502086162567,0.0,0.0,0.0
32631,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.2656254768371582,0.4960939288139343,9.460941314697266,0.0,0.0,0.0,0.13671885430812836,-0.048828158527612686,-0.2812502086162567,0.0,0.0,0.0
32642,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.1484378576278687,0.4960939288139343,9.500003814697266,0.0,0.0,0.0,0.13671885430812836,-0.048828158527612686,-0.2812502086162567,0.0,0.0,0.0
32653,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.1484378576278687,0.4960939288139343,9.500003814697266,0.0,0.0,0.0,0.45312532782554626,-0.16406261920928955,-0.47460970282554626,0.0,0.0,0.0
32664,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.1484378576278687,0.4960939288139343,9.500003814697266,0.0,0.0,0.0,0.5429691672325134,-0.17578136920928955,-0.5000003576278687,0.0,0.0,0.0
32675,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.1875004768371582,0.8828127980232239,9.19531536102295,0.0,0.0,0.0,0.5429691672325134,-0.17578136920928955,-0.5000003576278687,0.0,0.0,0.0
32688,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.0351566076278687,1.1484378576278687,8.92578411102295,0.0,0.0,0.0,0.5429691672325134,-0.17578136920928955,-0.5000003576278687,0.0,0.0,0.0
32699,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.0351566076278687,1.1484378576278687,8.92578411102295,0.0,0.0,0.0,0.8203130960464478,-0.3769533932209015,-0.6250004768371582,0.0,0.0,0.0
32711,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,0.7656252980232239,1.0742191076278687,8.81250286102295,0.0,0.0,0.0,0.8203130960464478,-0.3769533932209015,-0.6250004768371582,0.0,0.0,0.0
32722,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,0.7656252980232239,1.0742191076278687,8.81250286102295,0.0,0.0,0.0,1.2148445844650269,-0.4179690480232239,-0.6660161018371582,0.0,0.0,0.0
32733,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,0.9960941076278687,0.34375011920928955,9.804691314697266,0.0,0.0,0.0,1.2148445844650269,-0.4179690480232239,-0.6660161018371582,0.0,0.0,0.0
32744,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,0.9570316076278687,0.34375011920928955,9.609378814697266,0.0,0.0,0.0,1.2148445844650269,-0.4179690480232239,-0.6660161018371582,0.0,0.0,0.0
32754,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,0.9570316076278687,0.34375011920928955,9.609378814697266,0.0,0.0,0.0,1.1464852094650269,-0.22851578891277313,-0.3750002682209015,0.0,0.0,0.0
32764,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.0742191076278687,0.34375011920928955,9.15625286102295,0.0,0.0,0.0,1.1464852094650269,-0.22851578891277313,-0.3750002682209015,0.0,0.0,0.0
32776,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,0.9960941076278687,0.8828127980232239,8.81250286102295,0.0,0.0,0.0,1.1464852094650269,-0.22851578891277313,-0.3750002682209015,0.0,0.0,0.0
32787,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,0.9960941076278687,0.8828127980232239,8.81250286102295,0.0,0.0,0.0,0.9863288402557373,-0.2773439586162567,-0.07031255215406418,0.0,0.0,0.0
32798,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,0.5351564288139343,0.8046877980232239,8.35547161102295,0.0,0.0,0.0,0.9863288402557373,-0.2773439586162567,-0.07031255215406418,0.0,0.0,0.0
32809,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,0.5351564288139343,0.8046877980232239,8.35547161102295,0.0,0.0,0.0,1.0898445844650269,-0.5546879172325134,0.20507827401161194,0.0,0.0,0.0
32821,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.0742191076278687,0.4609376788139343,9.382816314697266,0.0,0.0,0.0,1.0898445844650269,-0.5546879172325134,0.20507827401161194,0.0,0.0,0.0
32832,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.0742191076278687,0.4609376788139343,9.382816314697266,0.0,0.0,0.0,0.8417974710464478,-0.5371097326278687,0.48828160762786865,0.0,0.0,0.0
32843,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.1484378576278687,1.4570317268371582,10.726566314697266,0.0,0.0,0.0,0.8417974710464478,-0.5371097326278687,0.48828160762786865,0.0,0.0,0.0
32854,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.4179692268371582,0.9570316076278687,11.109378814697266,0.0,0.0,0.0,0.8417974710464478,-0.5371097326278687,0.48828160762786865,0.0,0.0,0.0
32866,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.7226568460464478,0.9179691076278687,11.109378814697266,0.0,0.0,0.0,0.8417974710464478,-0.5371097326278687,0.48828160762786865,0.0,0.0,0.0
32877,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.7226568460464478,0.9179691076278687,11.109378814697266,0.0,0.0,0.0,-0.2773439586162567,0.3535158634185791,1.1855477094650269,0.0,0.0,0.0
32888,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.9921882152557373,0.7656252980232239,10.691410064697266,0.0,0.0,0.0,-0.2773439586162567,0.3535158634185791,1.1855477094650269,0.0,0.0,0.0
32900,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.9921882152557373,0.7656252980232239,10.691410064697266,0.0,0.0,0.0,0.044921908527612686,0.763672411441803,1.441407322883606,0.0,0.0,0.0
32911,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.9921882152557373,0.7656252980232239,10.691410064697266,0.0,0.0,0.0,0.2500001788139343,0.8867194056510925,1.492188572883606,0.0,0.0,0.0
32922,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.4570317268371582,1.5703130960464478,9.19531536102295,0.0,0.0,0.0,0.2500001788139343,0.8867194056510925,1.492188572883606,0.0,0.0,0.0
32931,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.4570317268371582,1.5703130960464478,9.19531536102295,0.0,0.0,0.0,0.5605472922325134,0.6953129768371582,1.513672947883606,0.0,0.0,0.0
32943,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.9921882152557373,1.6835943460464478,10.304691314697266,0.0,0.0,0.0,0.5605472922325134,0.6953129768371582,1.513672947883606,0.0,0.0,0.0
32954,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.9921882152557373,1.6835943460464478,10.304691314697266,0.0,0.0,0.0,0.5175784826278687,0.8574224710464478,1.492188572883606,0.0,0.0,0.0
32965,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.9921882152557373,1.6835943460464478,10.304691314697266,0.0,0.0,0.0,0.46484407782554626,1.1210945844650269,1.523438572883606,0.0,0.0,0.0
32977,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,2.4882822036743164,0.8046877980232239,10.800785064697266,0.0,0.0,0.0,0.46484407782554626,1.1210945844650269,1.523438572883606,0.0,0.0,0.0
32988,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,2.4882822036743164,0.8046877980232239,10.800785064697266,0.0,0.0,0.0,0.3535158634185791,1.859376311302185,1.6464855670928955,0.0,0.0,0.0
33000,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,2.4882822036743164,0.8046877980232239,10.800785064697266,0.0,0.0,0.0,0.3183596134185791,2.1289076805114746,1.6816418170928955,0.0,0.0,0.0
33011,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.5703130960464478,1.6093755960464478,8.69922161102295,0.0,0.0,0.0,0.3183596134185791,2.1289076805114746,1.6816418170928955,0.0,0.0,0.0
33022,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.5703130960464478,1.6093755960464478,8.69922161102295,0.0,0.0,0.0,-0.3671877682209015,2.2558610439300537,1.810548186302185,0.0,0.0,0.0
33033,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.5703130960464478,1.6093755960464478,8.69922161102295,0.0,0.0,0.0,-0.789063036441803,2.1210951805114746,1.847657561302185,0.0,0.0,0.0
33045,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,1.5703130960464478,1.6093755960464478,8.69922161102295,0.0,0.0,0.0,-1.1601570844650269,1.849610686302185,1.878907561302185,0.0,0.0,0.0
33055,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,0.4609376788139343,1.6093755960464478,7.851565361022949,0.0,0.0,0.0,-1.1601570844650269,1.849610686302185,1.878907561302185,0.0,0.0,0.0
33065,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,-0.30468761920928955,1.8789069652557373,6.824221134185791,0.0,0.0,0.0,-1.1601570844650269,1.849610686302185,1.878907561302185,0.0,0.0,0.0
33076,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,-0.30468761920928955,1.8789069652557373,6.824221134185791,0.0,0.0,0.0,-1.1621102094650269,0.8652349710464478,1.6328136920928955,0.0,0.0,0.0
33087,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,-0.6523439884185791,2.0703132152557373,7.046877384185791,0.0,0.0,0.0,-1.1621102094650269,0.8652349710464478,1.6328136920928955,0.0,0.0,0.0
33098,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,-0.6523439884185791,2.0703132152557373,7.046877384185791,0.0,0.0,0.0,-0.9980475902557373,0.08203130960464478,1.3632822036743164,0.0,0.0,0.0
33110,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,0.0,1.6835943460464478,8.65625286102295,0.0,0.0,0.0,-0.9980475902557373,0.08203130960464478,1.3632822036743164,0.0,0.0,0.0
33120,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,0.4609376788139343,1.3789067268371582,9.19531536102295,0.0,0.0,0.0,-0.9980475902557373,0.08203130960464478,1.3632822036743164,0.0,0.0,0.0
33131,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,0.4609376788139343,1.3789067268371582,9.19531536102295,0.0,0.0,0.0,-1.2031258344650269,-0.3710940182209015,0.8984381556510925,0.0,0.0,0.0
33141,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,0.4609376788139343,1.3789067268371582,9.19531536102295,0.0,0.0,0.0,-1.2050789594650269,-0.2988283336162567,0.748047411441803,0.0,0.0,0.0
33154,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,0.4609376788139343,1.3789067268371582,9.19531536102295,0.0,0.0,0.0,-1.1132820844650269,-0.15625011920928955,0.5820316672325134,0.0,0.0,0.0
33165,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,0.23046883940696716,0.26953133940696716,10.035160064697266,0.0,0.0,0.0,-1.1132820844650269,-0.15625011920928955,0.5820316672325134,0.0,0.0,0.0
33176,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,0.11328128725290298,-0.42187514901161194,9.808597564697266,0.0,0.0,0.0,-1.1132820844650269,-0.15625011920928955,0.5820316672325134,0.0,0.0,0.0
33187,0.051208533346652985,-0.01458741258829832,0.9627082347869873,0.2651368975639343,0.0,0.0,0.0,0.0,0.11328128725290298,-0.42187514901161194,9.808597564697266,0.0,0.0,0.0,-0.6914067268371582,0.22070328891277313,0.4199221730232239,0.0,0.0,0.0
33200,-0.00708008324727416,0.008361821994185448,0.9987800121307373,0.048522982746362686,0.0,0.0,0.0,0.0,0.11328128725290298,-0.42187514901161194,9.808597564697266,0.0,0.0,0.0,-0.6914067268371582,0.22070328891277313,0.4199221730232239,0.0,0.0,0.0
